127.0.0.1, 2013-06-17 09:37:00, GET, /, HTTP/1.1, 303, 0.843000
127.0.0.1, 2013-06-17 09:37:00, GET, /init/account/log_in, HTTP/1.1, 200, 0.406000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/styles.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:37:01, GET, /init/static/title.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:37:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-06-17 09:37:06, POST, /init/account/log_in, HTTP/1.1, 303, 0.718000
127.0.0.1, 2013-06-17 09:37:06, GET, /init/account/logged, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-17 09:37:06, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:37:07, GET, /init/, HTTP/1.1, 200, 0.297000
127.0.0.1, 2013-06-17 09:37:07, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/default/adhocDB, HTTP/1.1, 200, 0.344000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/styles.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/style.css, HTTP/1.1, 404, 0.015000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:49:11, GET, /init/static/title.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:49:16, GET, /init/researchdb/list_table, HTTP/1.1, 200, 0.218000
127.0.0.1, 2013-06-17 09:49:16, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:49:18, GET, /init/default/adhocDB, HTTP/1.1, 200, 0.218000
127.0.0.1, 2013-06-17 09:49:20, GET, /init/, HTTP/1.1, 200, 0.266000
127.0.0.1, 2013-06-17 09:49:23, GET, /init/default/statistics, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-17 09:49:23, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:49:42, GET, /init/default/index, HTTP/1.1, 200, 0.344000
127.0.0.1, 2013-06-17 09:49:42, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin, HTTP/1.1, 200, 0.890000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:15, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-17 09:50:49, POST, /admin/default/index, HTTP/1.1, 303, 0.188000
127.0.0.1, 2013-06-17 09:50:49, GET, /admin/default/site, HTTP/1.1, 200, 0.171000
127.0.0.1, 2013-06-17 09:50:50, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.125000
127.0.0.1, 2013-06-17 09:50:50, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.125000
127.0.0.1, 2013-06-17 09:50:51, POST, /admin/default/check_version, HTTP/1.1, 200, 1.311000
127.0.0.1, 2013-06-17 09:51:01, GET, /init/default/index, HTTP/1.1, 200, 0.219000
127.0.0.1, 2013-06-17 09:51:01, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:51:03, GET, /admin/default/site, HTTP/1.1, 200, 0.250000
127.0.0.1, 2013-06-17 09:51:09, GET, /admin/default/design/init, HTTP/1.1, 200, 1.062000
127.0.0.1, 2013-06-17 09:51:09, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2013-06-17 09:51:10, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-06-17 09:51:10, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-06-17 09:51:10, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.078000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/appadmin/index, HTTP/1.1, 200, 0.469000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/static/styles.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/static/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/static/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:51:23, GET, /init/static/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:51:24, GET, /init/static/title.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-17 09:51:28, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.547000
127.0.0.1, 2013-06-17 09:51:28, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:52:00, GET, /init/appadmin/update/cynotedb/notebook/2, HTTP/1.1, 200, 0.391000
127.0.0.1, 2013-06-17 09:52:00, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:52:08, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.609000
127.0.0.1, 2013-06-17 09:52:13, GET, /init/appadmin/update/cynotedb/entry/68, HTTP/1.1, 200, 0.250000
127.0.0.1, 2013-06-17 09:52:13, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:52:17, GET, /init/appadmin/select/cynotedb/comment, HTTP/1.1, 200, 0.375000
127.0.0.1, 2013-06-17 09:52:17, GET, /init/static/style.css, HTTP/1.1, 404, 0.016000
127.0.0.1, 2013-06-17 09:52:21, GET, /init/appadmin/update/cynotedb/entry/68, HTTP/1.1, 200, 0.281000
127.0.0.1, 2013-06-17 09:52:35, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.562000
127.0.0.1, 2013-06-17 09:52:48, GET, /init/appadmin/download/cynotedb/entry.file.639875450491.pdf, HTTP/1.1, 500, 0.749000
127.0.0.1, 2013-06-17 09:52:50, GET, /admin/default/ticket/init/127.0.0.1.2013-06-17.09-52-47.5c3921b2-0789-484f-aabe-e6a0aad50ad2, HTTP/1.1, 200, 0.359000
127.0.0.1, 2013-06-17 09:52:59, GET, /init/appadmin/select/cynotedb, HTTP/1.1, 200, 0.672000
127.0.0.1, 2013-06-17 09:53:03, GET, /init/appadmin/download/cynotedb/entry.file.8d65adf7b57cfb60.504f536572726f722e706466.pdf, HTTP/1.1, 200, 0.296000
127.0.0.1, 2013-06-17 09:53:24, GET, /init/appadmin/index, HTTP/1.1, 200, 0.343000
127.0.0.1, 2013-06-17 09:53:24, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2013-06-17 09:53:32, GET, /init/appadmin/select/researchdb, HTTP/1.1, 200, 0.500000
127.0.0.1, 2013-06-17 09:53:32, GET, /init/static/style.css, HTTP/1.1, 404, 0.000000
